[ 2026-07-05 08:53:34,525 ] 18 root - INFO - Initiate the data ingestion
[ 2026-07-05 08:53:42,207 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 08:53:42,207 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 08:53:42,209 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 08:53:42,292 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 08:53:42,293 ] 20 root - INFO - Data Initiated Completed
[ 2026-07-05 08:53:42,305 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-05 08:53:42,338 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:53:42,338 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:53:42,338 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:53:42,339 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:53:42,570 ] 28 root - INFO - Data Validation completed
[ 2026-07-05 08:53:42,570 ] 62 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-07-05 08:53:42,570 ] 64 root - INFO - Starting data transformation
[ 2026-07-05 08:53:42,612 ] 45 root - INFO - Entered get_data_transforme_object method of Transformation class
[ 2026-07-05 08:53:42,612 ] 52 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-05 08:53:42,634 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 08:53:42,637 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 08:53:42,639 ] 34 root - INFO - Data Transformation completed
